Gender,Location,Age.Band,Age,Completion.Time,Part.A.Score,Part.B.Score,Part.C.Score
F,B,U,10,109,17,8,53
F,A,M,46,63,68,36,37
M,B,O,80,21,67,62,48
F,E,O,83,28,52,65,32
F,B,O,71,30,62,55,66
F,A,U,208,97,17,162,52
M,B,U,14,78,20,11,46
F,B,U,5,106,17,4,23
F,E,U,12,98,21,9,46
F,B,U,9,107,20,7,17
F,C,Y,17,71,70,13,28
M,E,O,90,115,65,70,49
F,E,M,51,43,65,40,26
F,C,M,61,43,64,47,53
F,D,U,12,95,33,9,46
M,D,M,207,101,55,161,19
F,D,Y,38,94,62,30,37
M,C,Y,17,56,66,13,58
F,D,O,85,39,69,66,22
F,B,M,44,47,52,34,47
M,B,Y,25,87,83,19,36
M,C,U,6,52,22,5,36
F,D,O,84,30,55,65,22
F,C,O,93,27,69,72,25
F,E,Y,38,77,53,30,49
M,C,U,11,52,14,9,39
M,B,U,7,96,27,5,59
F,A,O,85,22,64,66,46
M,E,Y,35,63,65,27,49
M,D,U,13,85,19,10,46
M,D,O,95,49,73,74,18
M,C,U,12,113,21,9,37
M,C,O,92,101,68,72,28
M,D,Y,39,50,61,30,37
F,C,U,6,99,20,5,56
F,D,U,5,90,10,4,48
F,A,O,209,23,66,163,68
F,E,O,85,23,77,66,35
F,C,M,51,62,53,40,43
M,A,M,47,107,65,37,37
M,B,Y,33,63,63,26,45
F,A,U,13,113,16,10,28
M,E,U,15,47,20,12,33
F,A,Y,39,99,58,30,35
F,C,Y,22,82,68,17,37
M,E,Y,18,78,69,14,33
M,E,M,43,101,57,33,44
M,E,Y,19,94,58,15,30
F,C,M,49,41,70,38,27
M,B,U,6,95,15,5,56
M,E,Y,28,68,72,22,45
M,A,U,7,70,14,5,27
M,D,O,97,89,79,75,18
M,E,O,67,90,67,52,37
M,E,O,66,77,69,51,46
M,D,O,74,21,67,58,25
M,E,U,5,45,23,4,40
F,E,M,57,44,80,44,37
F,A,Y,18,84,65,14,29
M,B,U,13,116,13,10,37
F,C,U,5,109,24,4,30
F,D,U,7,94,31,5,48
M,E,O,79,120,65,61,45
F,E,O,83,44,57,65,37
F,E,M,41,63,75,32,28
F,D,O,89,36,72,69,20
F,D,O,82,21,63,64,23
M,E,O,89,92,65,69,45
F,D,Y,37,72,73,29,38
F,E,O,91,32,74,71,34
M,E,O,96,84,64,75,48
F,B,M,54,41,67,42,63
M,C,U,13,62,27,10,31
F,C,U,10,94,8,8,37
M,E,U,14,42,24,11,47
F,B,U,8,103,30,6,21
F,C,Y,22,74,72,17,57
F,B,U,9,116,26,7,40
M,A,U,14,39,23,11,29
F,C,Y,21,100,61,16,54
F,C,M,42,57,65,33,39
M,C,M,41,34,59,32,59
F,D,Y,38,72,61,30,37
F,D,O,97,37,76,75,18
M,E,Y,38,110,70,30,40
F,D,Y,21,95,76,16,43
F,B,U,8,114,33,6,25
F,D,U,13,111,29,10,46
F,C,O,82,45,83,64,38
F,C,U,6,106,13,5,26
F,C,O,73,33,49,57,48
M,B,O,72,23,68,56,46
F,B,M,46,44,62,36,53
M,A,M,55,91,77,43,39
F,D,U,5,101,21,4,48
M,A,O,74,36,67,58,43
F,D,Y,32,83,62,25,39
M,C,Y,32,75,70,25,22
M,A,U,11,63,21,9,28
M,C,Y,201,72,66,156,46
M,E,U,8,27,20,6,38
F,A,Y,21,96,71,16,30
F,E,O,65,38,65,51,29
F,A,O,87,45,64,68,47
M,D,M,45,42,73,35,35
M,E,Y,20,113,50,16,45
M,C,O,92,61,69,72,22
F,B,O,81,43,64,63,52
F,B,M,203,42,66,158,64
M,B,M,58,97,53,45,20
F,B,M,50,64,73,39,35
F,C,Y,33,61,74,26,26
F,A,M,61,53,60,47,40
M,D,M,43,98,68,33,36
F,B,O,96,33,76,75,20
M,D,M,57,36,60,44,31
F,B,U,14,99,22,11,25
F,D,U,9,92,16,7,47
F,A,M,43,51,57,33,36
M,B,U,7,36,12,5,63
M,E,O,77,81,77,60,49
M,A,O,94,30,76,73,49
F,C,O,83,43,70,65,25
M,B,O,91,108,62,71,22
F,C,Y,36,65,71,28,30
M,B,M,50,106,71,39,29
F,A,O,99,22,83,77,50
M,C,Y,21,54,58,16,46
F,E,M,52,60,64,40,40
M,B,O,92,87,66,72,24
M,E,U,10,51,34,8,37
F,C,M,55,43,64,43,50
M,A,O,67,92,76,52,42
M,D,O,93,68,78,72,19
M,D,Y,24,49,71,19,42
M,C,U,6,113,17,5,35
F,D,Y,26,89,84,20,41
F,B,U,5,93,22,4,63
F,D,O,87,43,65,68,21
F,A,U,9,110,20,7,27
M,B,U,8,36,18,6,38
M,E,Y,18,76,63,14,30
F,A,Y,21,61,60,16,30
F,D,O,87,38,61,68,21
M,C,Y,23,26,61,18,29
F,B,O,77,23,61,60,39
F,C,U,12,113,10,9,32
M,E,U,7,21,14,5,43
M,A,Y,32,39,60,25,33
M,B,Y,206,37,73,160,32
M,A,U,7,96,9,5,27
M,D,Y,33,56,69,26,39
M,C,O,99,34,67,77,20
F,A,M,61,56,55,47,40
F,E,M,47,47,56,37,47
F,A,O,91,22,77,71,48
F,A,U,7,106,18,5,27
F,B,U,7,106,17,5,51
F,E,O,76,20,72,59,44
F,E,U,8,94,19,6,26
F,E,M,47,59,62,37,43
F,A,Y,24,81,70,19,31
M,A,O,88,39,72,68,47
M,E,O,93,102,69,72,36
F,C,M,62,52,47,48,38
F,C,M,62,62,57,48,25
M,B,O,84,109,62,65,41
F,C,O,81,43,76,63,35
M,B,U,13,88,31,10,60
M,D,Y,35,26,85,27,38
F,C,M,59,55,61,46,41
M,B,Y,17,69,66,13,55
F,A,O,90,26,67,70,47
F,C,U,7,98,11,5,27
M,B,M,52,62,71,40,48
M,E,M,48,43,76,37,34
M,A,O,82,95,74,64,45
F,C,U,9,113,15,7,57
M,E,Y,37,68,70,29,34
F,B,O,75,44,56,58,69
M,D,M,42,37,59,33,36
F,A,M,46,60,65,36,37
M,A,O,92,100,70,72,48
F,D,U,10,117,17,8,47
F,B,O,90,40,66,70,42
M,A,M,52,48,72,40,38
F,D,O,96,25,61,75,18
F,B,U,9,119,19,7,60
F,D,O,80,42,75,62,23
F,E,Y,17,70,63,13,35
M,E,Y,33,53,53,26,40
F,A,M,64,41,72,50,41
M,B,O,87,107,74,68,26
F,C,O,97,20,55,75,23
F,E,Y,28,81,60,22,40
M,D,U,8,89,5,6,47
M,B,U,8,52,24,6,21
M,A,M,63,33,71,49,41
M,A,O,76,67,64,59,44
F,C,O,73,42,73,57,36
M,C,M,47,58,60,37,46
M,B,M,62,105,70,48,67
M,A,M,64,82,82,50,41
M,D,O,66,35,57,51,28
F,B,M,50,52,70,39,50
M,B,U,9,31,24,7,22
F,B,U,7,114,24,5,27
F,B,M,47,41,63,37,17
F,B,Y,38,99,62,30,64
F,E,M,52,64,58,40,32
F,A,O,66,43,70,51,41
M,B,M,59,96,55,46,42
M,B,U,9,114,28,7,26
M,D,U,6,118,19,5,48
F,E,O,85,25,60,66,46
M,E,O,79,87,66,61,42
F,D,M,58,55,77,45,31
M,A,M,40,39,76,31,35
M,E,U,14,26,16,11,30
F,B,U,13,114,25,10,53
M,D,O,72,98,68,56,26
F,C,U,12,118,15,9,25
M,B,M,62,72,80,48,30
F,C,Y,200,67,55,156,47
F,D,Y,26,63,66,20,41
F,D,O,71,35,67,55,26
M,E,U,11,37,20,9,35
F,E,M,56,64,85,44,38
F,D,O,77,40,75,60,24
F,C,Y,31,68,73,24,21
M,B,U,10,88,26,8,55
M,D,M,60,43,58,47,30
F,B,Y,17,91,68,13,43
F,A,U,12,105,19,9,28
F,C,U,12,108,30,9,48
F,C,U,15,99,16,12,39
F,A,M,58,61,64,45,39
F,E,O,66,35,71,51,26
F,E,M,48,45,66,37,41
M,D,M,60,64,54,47,30
F,E,Y,34,65,70,26,31
M,D,M,57,71,52,44,31
F,D,Y,37,72,61,29,38
M,E,U,8,38,13,6,49
F,B,Y,17,78,60,13,58
M,E,U,15,21,17,12,32
M,A,Y,26,26,72,20,31
F,D,O,97,35,55,75,18
F,C,Y,26,92,69,20,49
F,B,M,50,46,55,39,22
F,D,M,202,43,55,157,32
F,D,O,70,26,72,54,27
F,B,M,54,45,65,42,51
M,E,O,74,72,77,58,38
M,C,Y,32,41,66,25,44
F,C,M,41,43,69,32,44
M,D,U,9,41,21,7,47
F,E,O,65,24,67,51,35
F,E,O,78,26,75,61,44
F,B,U,14,103,13,11,31
F,B,O,89,28,57,69,69
F,E,O,68,42,74,53,50
M,E,U,11,45,20,9,39
M,E,O,85,63,76,66,46
M,B,Y,18,29,64,14,18
F,E,O,87,29,65,68,31
M,C,U,6,67,18,5,42
M,E,Y,17,40,63,13,37
M,B,O,86,32,63,67,67
M,A,O,80,29,74,62,45
M,E,Y,35,66,56,27,41
F,B,O,66,44,53,51,65
F,A,U,8,97,11,6,27
M,D,M,63,75,68,49,29
M,E,M,54,87,76,42,28
F,A,U,5,108,16,4,26
M,E,Y,32,41,68,25,28
M,C,Y,20,68,36,16,42
F,E,U,15,100,21,12,50
M,A,M,40,28,68,31,35
M,C,U,9,89,20,7,44
F,C,M,63,56,59,49,36
M,E,U,14,38,17,11,32
F,B,Y,37,71,72,29,18
M,D,M,63,64,66,49,29
F,A,M,63,63,54,49,41
M,D,M,61,67,59,47,30
M,C,Y,30,84,72,23,54
M,A,U,12,100,16,9,28
F,E,M,55,50,48,43,43
F,A,O,79,22,72,61,45
M,D,U,6,114,8,5,48
M,D,M,54,56,61,42,32
M,D,M,50,33,79,39,33
M,D,M,43,89,69,33,36
M,C,O,80,51,73,62,26
F,C,O,92,23,63,72,52
M,D,Y,17,85,68,13,44
M,E,Y,22,90,59,17,31
F,C,M,52,43,66,40,57
F,D,M,59,61,51,46,30
F,A,M,53,52,57,41,38
M,A,M,48,111,64,37,37
F,A,U,9,105,18,7,27
M,D,Y,29,104,62,23,40
F,A,M,45,46,81,35,36
F,C,U,9,101,19,7,36
F,C,Y,32,90,55,25,21
M,C,Y,206,61,67,160,29
F,E,Y,36,71,61,28,50
M,C,M,47,53,73,37,55
M,B,M,57,70,73,44,37
F,D,M,62,51,64,48,29
F,D,O,93,26,77,72,19
M,C,M,61,67,51,47,51
M,E,Y,23,65,60,18,38
M,D,M,50,86,68,39,33
F,A,Y,32,70,65,25,33
M,C,M,40,53,56,31,53
F,E,M,52,64,68,40,30
M,A,U,12,115,17,9,28
F,C,U,14,97,35,11,41
F,E,Y,29,96,64,23,34
M,D,Y,39,106,56,30,37
M,D,U,7,117,11,5,48
F,D,Y,29,79,55,23,40
M,C,Y,17,77,53,13,60
M,D,U,5,104,11,4,48
M,E,O,72,101,57,56,41
F,C,M,41,48,60,32,55
F,B,M,55,41,49,43,44
F,C,M,42,54,68,33,34
F,A,Y,209,68,73,163,61
F,D,Y,29,82,62,23,40
F,C,M,60,43,64,47,38
F,D,Y,24,92,66,19,42
F,E,M,49,51,60,38,39
M,E,U,15,52,31,12,41
F,A,U,5,104,21,4,26
F,A,Y,38,82,74,30,35
M,C,U,5,40,25,4,38
M,A,O,87,115,65,68,47
M,D,Y,19,113,57,15,44
F,A,M,60,56,52,47,40
M,D,Y,36,23,66,28,38
F,A,O,207,21,68,161,28
M,E,Y,32,119,66,25,38
F,C,M,50,53,50,39,52
M,B,U,7,53,21,5,26
F,B,M,47,53,67,37,23
M,E,M,55,41,79,43,47
M,D,Y,19,33,59,15,44
M,A,O,74,38,60,58,43
F,B,O,96,44,62,75,51
M,D,M,45,100,62,35,35
M,C,M,50,63,76,39,30
F,C,U,14,116,25,11,51
M,A,Y,34,97,70,26,33
F,E,O,95,22,71,74,45
M,B,U,8,118,24,6,58
M,D,O,71,105,81,55,26
M,B,M,41,66,52,32,67
F,B,Y,19,98,68,15,67
M,C,Y,23,118,65,18,21
M,D,U,7,38,28,5,48
F,A,M,51,65,57,40,38
F,D,O,66,24,72,51,28
M,A,U,6,32,24,5,27
F,A,Y,38,70,77,30,35
F,A,M,56,41,67,44,39
F,A,Y,25,96,52,19,31
F,A,U,6,114,20,5,27
M,D,Y,19,27,80,15,44
F,B,M,60,61,57,47,36
F,E,M,42,60,75,33,36
M,D,M,60,118,60,47,30
F,A,U,13,117,19,10,28
M,D,M,52,57,46,40,33
F,B,O,208,40,77,162,42
M,B,Y,33,22,72,26,40
M,D,O,93,33,61,72,19
F,A,O,75,21,68,58,44
M,A,U,7,59,17,5,27
F,A,O,76,30,78,59,44
F,A,M,41,57,77,32,35
M,D,U,11,99,21,9,46
F,C,O,83,31,65,65,20
F,E,Y,21,72,57,16,27
M,D,Y,28,46,61,22,41
F,C,Y,31,63,56,24,38
F,D,U,11,107,16,9,46
F,B,M,61,44,64,47,35
F,C,M,55,46,63,43,38
F,A,M,47,54,63,37,37
M,A,Y,35,36,72,27,34
F,E,M,57,61,72,44,45
F,C,O,72,34,73,56,58
F,D,U,7,106,23,5,48
M,E,U,11,44,18,9,46
F,D,O,79,26,79,61,24
M,B,Y,24,67,75,19,18
M,D,O,78,26,80,61,24
M,C,O,92,34,69,72,34
F,D,Y,27,61,70,21,41
F,E,O,68,45,60,53,38
F,C,Y,25,75,60,19,24
M,A,M,47,58,73,37,37
F,E,U,7,111,16,5,27
F,A,U,13,92,28,10,28
M,D,Y,18,79,70,14,44
F,D,Y,19,73,56,15,44
M,C,M,45,102,67,35,38
M,B,Y,28,111,53,22,25
M,E,Y,20,30,67,16,27
F,A,O,66,26,67,51,41
M,A,Y,17,110,76,13,29
F,D,Y,39,71,66,30,37
M,E,Y,24,73,62,19,37
F,D,Y,24,93,58,19,42
M,B,U,8,26,22,6,31
M,C,U,8,37,15,6,47
M,D,Y,28,58,72,22,41
M,A,U,6,28,26,5,27
M,C,Y,17,96,63,13,27
F,B,M,49,57,56,38,44
F,E,M,46,58,66,36,33
M,A,M,55,105,56,43,39
M,A,U,10,58,26,8,27
F,B,U,11,117,12,9,45
M,E,M,40,53,73,31,26
F,A,Y,25,93,70,19,31
F,D,Y,36,83,63,28,38
F,D,U,10,102,21,8,47
M,A,O,68,102,67,53,42
M,C,Y,26,81,78,20,20
F,B,Y,23,64,62,18,30
F,D,O,97,27,52,75,18
F,D,Y,23,90,66,18,42
M,C,Y,35,30,64,27,38
F,D,Y,37,96,63,29,38
M,D,O,65,42,63,51,28
F,E,Y,37,99,67,29,46
F,B,M,45,47,69,35,38
F,C,M,60,62,67,47,57
F,A,Y,20,79,61,16,30
F,B,Y,21,64,56,16,39
M,B,Y,17,109,56,13,48
M,C,U,11,21,17,9,53
M,E,M,48,100,63,37,27
F,A,O,87,36,78,68,47
M,C,Y,36,64,68,28,57
F,B,U,8,99,27,6,41
M,A,M,48,50,55,37,37
F,C,Y,25,65,69,19,35
M,E,M,62,102,60,48,49
M,D,U,7,77,14,5,48
F,C,O,97,20,71,75,25
M,D,U,14,42,18,11,45
F,A,M,51,43,54,40,38
M,C,U,13,119,22,10,39
F,C,Y,20,62,70,16,46
M,B,Y,25,60,66,19,63
F,B,M,62,47,64,48,29
M,D,O,94,38,70,73,19
M,A,M,44,94,64,34,36
M,C,M,64,92,48,50,39
F,D,U,13,104,21,10,46
M,E,U,14,26,37,11,40
M,A,U,11,67,27,9,28
F,B,M,43,54,52,33,44
M,B,U,12,62,15,9,48
F,E,M,49,44,63,38,36
F,B,Y,17,60,62,13,16
M,B,M,44,50,61,34,33
M,A,Y,36,37,79,28,34
M,E,U,15,47,22,12,50
M,D,O,95,120,58,74,18
M,D,U,14,78,33,11,45
F,D,U,9,101,18,7,47
F,A,M,63,42,67,49,41
F,A,U,9,99,18,7,27
M,E,U,7,39,13,5,36
M,A,U,8,65,13,6,27
F,A,U,10,107,21,8,27
M,E,U,7,44,11,5,35
M,E,M,56,81,73,44,40
F,A,M,62,65,64,48,41
M,A,O,70,84,53,54,43
M,E,Y,37,59,67,29,45
F,A,U,6,116,24,5,27
F,D,Y,30,80,71,23,40
F,B,U,7,95,18,5,27
F,D,U,10,95,16,8,47
F,E,U,10,91,21,8,40
F,A,O,77,31,80,60,44
M,D,M,63,77,64,49,29
F,D,O,73,30,69,57,26
F,A,U,8,97,13,6,27
M,C,Y,20,75,60,16,53
M,A,M,47,36,60,37,37
M,E,U,10,35,28,8,37
M,A,U,10,30,13,8,27
F,B,Y,25,99,56,19,24
F,E,U,9,92,22,7,33
M,B,Y,23,115,69,18,40
M,E,Y,33,119,61,26,35
F,D,U,7,100,20,5,48
F,C,O,82,31,58,64,39
M,D,Y,36,29,69,28,38
M,E,Y,35,56,55,27,29
M,A,U,12,85,14,9,28
M,A,Y,39,120,63,30,35
M,A,U,13,119,27,10,28
F,E,U,14,99,18,11,35
M,E,O,97,108,59,75,28
F,C,O,81,24,73,63,49
F,B,U,9,109,20,7,68
M,B,O,68,38,55,53,36
M,D,Y,38,51,62,30,37
M,D,U,6,49,22,5,48
F,C,M,56,52,64,44,59
M,E,U,10,28,21,8,31
M,C,U,12,49,14,9,55
F,E,O,66,33,70,51,34
M,D,O,86,92,71,67,21
F,D,Y,36,73,55,28,38
M,B,O,90,91,59,70,33
F,A,U,10,92,20,8,27
M,D,O,67,81,58,52,28
M,A,O,77,48,74,60,44
F,B,U,8,111,19,6,56
M,A,U,7,21,13,5,27
M,E,U,9,21,26,7,35
F,E,O,93,27,67,72,28
F,D,Y,18,79,71,14,44
F,B,M,58,60,57,45,53
F,A,Y,17,97,66,13,29
F,E,M,64,54,60,50,43
F,A,O,96,25,69,75,49
F,C,M,56,63,64,44,42
M,C,O,68,42,62,53,45
M,B,O,91,111,73,71,18
M,C,Y,37,53,61,29,48
M,E,Y,201,29,80,156,37
F,E,Y,24,86,53,19,40
M,C,U,11,107,19,9,51
F,D,M,46,46,62,36,35
F,B,U,14,98,24,11,47
F,A,Y,26,92,76,20,31
M,E,U,7,39,19,5,49
F,C,Y,30,63,60,23,26
M,C,O,82,117,70,64,59
M,E,Y,22,102,60,17,38
F,D,Y,33,90,67,26,39
F,E,O,73,35,59,57,48
F,D,Y,16,92,69,12,45
M,C,O,99,51,67,77,55
F,D,Y,20,78,65,16,43
M,C,Y,19,49,72,15,37
M,D,O,96,66,68,75,18
F,B,U,11,103,26,9,16
M,B,U,14,47,20,11,52
M,D,U,10,52,22,8,47
F,D,U,5,117,24,4,48
M,C,O,74,99,79,58,53
M,C,Y,29,79,72,23,39
M,E,Y,35,72,70,27,38
F,E,Y,38,91,73,30,27
F,B,M,43,61,61,33,26
F,A,U,6,100,13,5,27
M,E,M,54,90,80,42,36
M,E,O,80,102,67,62,29
M,D,M,48,93,81,37,34
F,B,Y,19,83,65,15,40
M,A,O,69,81,64,54,42
F,E,M,52,51,68,40,46
M,E,O,96,81,54,75,46
F,C,Y,34,87,61,26,53
F,A,Y,30,92,72,23,33
M,E,Y,39,70,68,30,48
M,E,U,8,32,10,6,34
F,A,O,99,38,68,77,50
M,C,M,55,86,57,43,53
M,C,M,42,41,70,33,40
M,E,O,66,92,67,51,40
F,A,U,13,100,17,10,28
M,A,U,6,119,24,5,27
F,A,M,62,50,62,48,41
F,C,O,74,20,52,58,30
F,C,M,52,48,74,40,47
F,E,Y,24,79,71,19,43
M,B,O,81,89,74,63,16
M,D,O,90,31,62,70,20
M,A,Y,20,27,65,16,30
M,E,M,51,117,61,40,41
M,A,Y,18,84,46,14,29
F,A,M,47,51,76,37,37
M,C,U,8,47,12,6,55
M,C,M,58,21,69,45,44
M,B,U,7,116,19,5,43
F,C,Y,17,82,68,13,49
F,E,Y,23,66,71,18,34
F,B,O,93,32,73,72,17
F,A,M,60,56,71,47,40
M,B,U,12,76,14,9,15
M,B,U,8,23,22,6,28
F,B,U,6,113,11,5,54
F,E,O,71,21,74,55,48
M,E,O,76,118,65,59,50
M,D,M,61,51,58,47,30
M,C,U,7,45,8,5,33
F,C,M,45,46,54,35,41
M,E,M,62,114,49,48,40
F,C,O,67,39,52,52,57
M,D,U,12,50,21,9,46
M,E,O,80,104,73,62,32
F,A,Y,24,97,57,19,31
F,E,M,51,46,55,40,48
F,E,O,75,39,71,58,35
M,D,Y,26,95,67,20,41
M,D,Y,36,73,56,28,38
F,D,M,55,60,77,43,32
M,C,M,61,97,61,47,39
M,D,O,95,112,75,74,18
M,D,Y,21,55,72,16,43
M,B,O,74,89,67,58,29
F,E,M,47,42,67,37,34
M,C,O,88,52,65,68,30
F,A,Y,36,71,62,28,34
F,B,M,63,62,67,49,60
M,D,Y,27,110,70,21,41
F,E,U,7,97,13,5,33
M,C,M,56,56,71,44,49
F,C,U,12,110,23,9,38
M,A,U,12,28,19,9,28
F,D,M,58,63,54,45,31
M,E,M,51,99,60,40,28
F,B,M,51,57,66,40,46
F,C,U,15,100,31,12,22
F,E,O,91,40,72,71,48
M,A,M,49,28,72,38,37
F,E,U,12,93,14,9,34
M,E,U,10,34,16,8,33
M,C,Y,18,110,61,14,47
M,C,M,62,116,71,48,39
M,C,U,15,72,20,12,38
M,C,U,7,87,14,5,28
M,A,Y,30,32,64,23,33
M,E,M,210,61,62,163,30
F,D,U,14,97,26,11,45
M,A,M,51,80,50,40,38
M,C,M,63,89,54,49,58
M,A,Y,16,47,78,12,29
F,B,M,47,49,74,37,17
M,A,M,41,52,57,32,35
F,E,U,7,112,20,5,43
M,A,U,14,32,22,11,29
M,D,U,9,67,24,7,47
F,A,Y,32,97,71,25,33
M,D,Y,22,30,75,17,43
M,A,M,60,69,67,47,40
F,A,U,9,96,12,7,27
F,E,O,89,25,62,69,41
M,E,M,55,105,65,43,33
F,A,O,75,43,70,58,44
F,E,M,62,46,70,48,35
M,B,M,52,85,68,40,44
F,C,Y,206,99,65,160,42
M,B,U,12,88,24,9,20
M,D,M,56,116,44,44,31
F,E,Y,22,68,59,17,46
F,B,Y,28,74,72,22,65
F,B,M,62,46,64,48,40
M,D,O,97,96,53,75,18
M,E,O,70,107,63,54,42
F,E,Y,20,98,68,16,42
F,B,M,52,64,46,40,30
F,A,M,58,62,76,45,39
M,D,O,77,89,62,60,24
F,D,Y,36,94,70,28,38
F,C,U,6,115,26,5,36
F,B,O,70,23,63,54,36
M,D,Y,23,110,68,18,42
F,A,Y,22,81,59,17,31
M,D,Y,36,40,55,28,38
F,D,O,86,35,74,67,21
F,D,M,46,49,51,36,35
M,B,Y,29,44,64,23,35
F,C,M,42,43,83,33,23
M,C,M,51,112,72,40,47
M,B,O,85,80,54,66,27
M,D,M,43,65,62,33,36
F,C,O,92,21,85,72,42
F,D,Y,39,96,61,30,37
F,D,U,8,99,17,6,47
M,A,Y,32,78,68,25,33
M,A,M,50,61,61,39,37
M,E,O,91,119,75,71,32
M,D,Y,29,55,58,23,40
F,C,O,66,32,67,51,35
F,E,Y,33,99,63,26,29
F,B,Y,20,78,88,16,63
M,D,Y,33,108,73,26,39
M,E,O,93,68,74,72,26
M,D,M,43,52,73,33,36
F,C,U,5,96,3,4,50
F,C,Y,22,91,71,17,22
M,C,Y,26,85,57,20,52
F,E,O,85,32,67,66,43
F,D,Y,19,69,82,15,44
M,A,U,9,118,20,7,27
F,A,M,46,56,64,36,37
F,A,Y,25,63,76,19,31
M,D,U,205,68,23,159,57
F,E,Y,38,81,70,30,49
F,E,O,86,22,56,67,34
M,E,Y,34,71,61,26,46
M,C,Y,22,99,59,17,29
M,D,M,43,46,55,33,36
F,A,O,71,29,74,55,43
M,A,Y,24,88,70,19,31
F,C,Y,21,81,58,16,54
F,E,Y,32,87,70,25,41
F,C,Y,22,74,76,17,49
M,C,O,90,31,73,70,21
M,A,Y,24,50,56,19,31
M,C,Y,37,83,75,29,30
M,A,O,89,89,58,69,47
M,D,M,53,67,71,41,32
M,A,M,57,56,59,44,39
M,E,Y,17,107,57,13,37
F,C,U,13,107,29,10,25
M,D,O,100,84,65,78,17
M,D,O,97,25,68,75,18
M,A,M,45,90,72,35,36
M,B,O,87,94,71,68,66
F,C,O,79,31,71,61,55
M,D,U,8,72,21,6,47
F,C,Y,32,92,70,25,32
M,A,U,8,115,28,6,27
M,D,O,89,71,72,69,20
M,A,Y,24,109,65,19,31
F,B,Y,22,77,57,17,48
M,D,Y,24,92,80,19,42
M,C,M,56,94,61,44,39
F,D,U,7,99,28,5,48
F,B,U,6,102,15,5,29
F,E,O,87,36,72,68,31
M,C,Y,16,36,73,12,37
F,C,M,57,56,84,44,56
F,E,U,15,105,17,12,48
M,E,U,14,55,18,11,39
F,C,Y,31,83,67,24,58
F,D,M,42,44,54,33,36
M,D,M,48,109,66,37,34
F,A,Y,37,90,66,29,34
F,E,Y,20,63,71,16,41
